제품명,가격,리뷰수,링크
"베베숲 시그니처 블루 유아물티슈 캡형, 75g, 70매, 10개","23,900원",102266,https://www.coupang.com/vp/products/6532149469?itemId=6922145055&vendorItemId=3096887843&sourceType=srp_product_ads&clickEventId=37153940-7285-11f0-868a-ff517ce51f67&korePlacement=15&koreSubPlacement=1&clickEventId=37153940-7285-11f0-868a-ff517ce51f67&korePlacement=15&koreSubPlacement=1
"코멧 오리지널 유아용 아기물티슈 캡형, 50g, 100매, 10개","10,890원",400579,https://www.coupang.com/vp/products/188227098?itemId=537550763&vendorItemId=4403776090&pickType=COU_PICK&q=물티슈&searchId=67d93d74753082&sourceType=search&itemsCount=36&searchRank=1&rank=1
"탐사 클래식 물티슈 캡형, 100매, 20개","15,490원",286072,https://www.coupang.com/vp/products/305672892?itemId=3984481086&vendorItemId=71968792459&q=물티슈&searchId=67d93d74753082&sourceType=search&itemsCount=36&searchRank=2&rank=2
"탐사 클래식 물티슈 캡형, 100매, 10개","7,890원",286072,https://www.coupang.com/vp/products/305672892?itemId=963428194&vendorItemId=5366452533&q=물티슈&searchId=67d93d74753082&sourceType=search&itemsCount=36&searchRank=3&rank=3
"탐사 클래식 물티슈 캡형, 100매, 10개","7,890원",286072,https://www.coupang.com/vp/products/305672892?itemId=963428194&vendorItemId=5366452533&sourceType=srp_product_ads&clickEventId=37156050-7285-11f0-afa5-2bc523f16aa2&korePlacement=15&koreSubPlacement=5&clickEventId=37156050-7285-11f0-afa5-2bc523f16aa2&korePlacement=15&koreSubPlacement=5
"브라운라이프 베이지 엠보싱 대용량 물티슈 캡형, 50g, 100매, 10개","11,900원",6777,https://www.coupang.com/vp/products/8161005570?itemId=23266594500&vendorItemId=90298957832&sourceType=srp_product_ads&clickEventId=37156050-7285-11f0-9f3c-a99b685d3e10&korePlacement=15&koreSubPlacement=6&clickEventId=37156050-7285-11f0-9f3c-a99b685d3e10&korePlacement=15&koreSubPlacement=6
"코멧 오리지널 아기물티슈 캡형, 50g, 100매, 20개","19,890원",400579,https://www.coupang.com/vp/products/188227098?itemId=6706535406&vendorItemId=74000115996&q=물티슈&searchId=67d93d74753082&sourceType=search&itemsCount=36&searchRank=6&rank=6
"코멧 저자극 시그니처 아기물티슈 엠보싱 캡형 더마테스트 인증, 55g, 100매, 10개","12,690원",297958,https://www.coupang.com/vp/products/252301180?itemId=795038805&vendorItemId=5018255169&q=물티슈&searchId=67d93d74753082&sourceType=search&itemsCount=36&searchRank=7&rank=7
"브라운라이프 그레이지 도톰한 대용량 아기물티슈 캡형, 10팩, 100매, 50g","10,900원",5,https://www.coupang.com/vp/products/8926408328?itemId=26090856399&vendorItemId=93071642946&sourceType=srp_product_ads&clickEventId=37158760-7285-11f0-a496-d9a2f8e82183&korePlacement=15&koreSubPlacement=9&clickEventId=37158760-7285-11f0-a496-d9a2f8e82183&korePlacement=15&koreSubPlacement=9
"아망떼 퓨어 대용량 도톰 아기물티슈 캡형, 50g, 120매, 10개","13,900원",916,https://www.coupang.com/vp/products/8250137518?itemId=23750201770&vendorItemId=90774727974&q=물티슈&searchId=67d93d74753082&sourceType=search&itemsCount=36&searchRank=9&rank=9
